Depth,Age (95% CI Lower Bound),Age (95% CI Median),Age (95% CI Upper Bound)
1.4968641192750647,1450.0,1450.0,1512.05
1.5101107044013928,1450.0,1450.0,1512.05
1.5233572895277208,1450.0,1450.0,1512.05
1.536603874654049,1450.0,1450.0,1512.0749999999998
1.5498504597803768,1450.0,1450.0,1512.0749999999998
1.5630970449067048,1450.0,1450.0,1513.0499999999997
1.576343630033033,1450.0,1450.0,1513.0499999999997
1.5895902151593608,1450.0,1450.0,1513.0499999999997
1.6028368002856888,1450.0,1450.0,1513.0499999999997
1.616083385412017,1450.0,1450.0,1513.0499999999997
1.6293299705383448,1450.0,1450.0,1513.0749999999998
1.642576555664673,1450.0,1450.0,1513.0749999999998
1.655823140791001,1450.0,1450.0,1513.0749999999998
1.6690697259173288,1450.0,1450.0,1513.0749999999998
1.682316311043657,1450.0,1450.0,1513.0749999999998
1.695562896169985,1450.0,1450.0,1513.0749999999998
1.7088094812963128,1450.0,1450.0,1513.0749999999998
1.722056066422641,1450.0,1450.0,1513.0749999999998
1.735302651548969,1450.0,1450.0,1514.0749999999998
1.7485492366752968,1450.0,1450.0,1514.0749999999998
1.761795821801625,1450.0,1450.0,1514.0749999999998
1.775042406927953,1450.0,1450.0,1514.0749999999998
1.788288992054281,1450.0,1450.0,1514.0749999999998
1.801535577180609,1450.0,1450.0,1514.0749999999998
1.814782162306937,1450.0,1450.0,1515.0500000000002
1.828028747433265,1450.0,1450.0,1515.0500000000002
1.841275332559593,1450.0,1450.0,1515.0500000000002
1.854521917685921,1450.0,1450.0,1515.0500000000002
1.867768502812249,1450.0,1450.0,1515.0500000000002
1.881015087938577,1450.0,1450.0,1516.025
1.8942616730649051,1450.0,1450.0,1516.025
1.907508258191233,1450.0,1450.0,1516.05
1.920754843317561,1450.0,1450.0,1516.05
1.9340014284438891,1450.0,1450.0,1517.0249999999999
1.947248013570217,1450.0,1450.0,1517.0249999999999
1.960494598696545,1450.0,1450.0,1517.0249999999999
1.9737411838228731,1450.0,1450.0,1517.0249999999999
1.986987768949201,1450.0,1450.0,1517.0249999999999
2.000234354075529,1450.0,1450.0,1518.0
2.013480939201857,1450.0,1450.0,1518.0
2.026727524328185,1450.0,1450.0,1518.0
2.039974109454513,1450.0,1450.0,1518.0
2.053220694580841,1450.0,1450.0,1518.025
2.0664672797071693,1450.0,1450.0,1519.0
2.079713864833497,1450.0,1450.0,1519.0
2.092960449959825,1450.0,1450.0,1519.0
2.106207035086153,1450.0,1450.0,1519.0
2.119453620212481,1450.0,1450.0,1519.025
2.1327002053388093,1450.0,1450.0,1519.025
2.1459467904651373,1450.0,1450.0,1519.025
2.159193375591465,1450.0,1450.0,1519.025
2.172439960717793,1450.0,1450.0,1519.025
2.185686545844121,1450.0,1450.0,1519.025
2.198933130970449,1450.0,1450.0,1519.025
2.2121797160967773,1450.0,1450.0,1519.025
2.2254263012231053,1450.0,1450.0,1519.025
2.238672886349433,1450.0,1450.0,1520.0
2.251919471475761,1450.0,1450.0,1520.0
2.265166056602089,1450.0,1450.0,1520.0
2.2784126417284174,1450.0,1450.0,1520.0
2.2916592268547453,1450.0,1450.0,1520.0
2.3049058119810732,1450.0,1450.0,1520.0
2.318152397107401,1450.0,1450.0,1520.0
2.331398982233729,1450.0,1450.0,1520.0
2.344645567360057,1450.0,1450.0,1520.0
2.3578921524863854,1450.0,1450.0,1520.0
2.3711387376127133,1450.0,1450.0,1520.0
2.3843853227390412,1450.0,1450.0,1520.0
2.397631907865369,1450.0,1450.0,1520.025
2.410878492991697,1450.0,1450.0,1520.025
2.4241250781180255,1450.0,1450.0,1520.025
2.4373716632443534,1450.0,1450.0,1520.025
2.4506182483706813,1450.0,1450.0,1520.025
2.4638648334970092,1450.0,1450.0,1520.025
2.477111418623337,1450.0,1450.0,1520.025
2.4903580037496655,1450.0,1450.0,1520.025
2.5036045888759935,1450.0,1450.0,1520.025
2.5168511740023214,1450.0,1450.0,1520.025
2.5300977591286493,1450.0,1450.0,1520.025
2.5433443442549772,1450.0,1450.0,1520.025
2.556590929381305,1450.0,1450.0,1520.025
2.5698375145076335,1450.0,1450.0,1520.05
2.5830840996339615,1450.0,1450.0,1520.05
2.5963306847602894,1450.0,1450.0,1520.05
2.6095772698866173,1450.0,1450.0,1521.0249999999999
2.6228238550129452,1450.0,1450.0,1521.0249999999999
2.6360704401392736,1450.0,1450.0,1521.0249999999999
2.6493170252656015,1450.0,1450.0,1521.0249999999999
2.6625636103919295,1450.0,1450.0,1521.0249999999999
2.6758101955182574,1450.0,1450.0,1521.0249999999999
2.6890567806445853,1450.0,1450.0,1521.0249999999999
2.7023033657709132,1450.0,1450.0,1521.0249999999999
2.7155499508972416,1450.0,1450.0,1521.0249999999999
2.7287965360235695,1450.0,1450.0,1521.0249999999999
2.7420431211498975,1450.0,1450.0,1521.0499999999997
2.7552897062762254,1450.0,1450.0,1521.0499999999997
2.7685362914025533,1450.0,1450.0,1521.0499999999997
2.7817828765288817,1450.0,1450.0,1521.0499999999997
