 7.00	2355.00	290.25	67.31	 2.32	210.98	327.26	90878.32
 7.00	2385.00	291.63	56.87	 2.72	233.79	333.10	90875.67
 7.00	2415.00	294.51	52.55	 2.83	270.92	346.34	90583.33
 7.00	2445.00	296.17	46.36	 3.35	298.49	356.51	90491.42
 7.00	2475.00	295.54	68.28	 2.37	248.30	378.15	90422.14
 7.00	2505.00	295.15	81.98	 1.86	228.11	387.89	90305.53
 8.00	2535.00	294.09	89.88	 0.48	187.73	391.70	90317.45
 8.00	2565.00	294.49	85.79	 0.58	236.63	381.37	90245.75
 8.00	2595.00	294.21	87.37	 1.59	205.38	386.71	90344.66
 8.00	2625.00	294.01	83.83	 2.44	203.73	378.47	90484.90
 8.00	2655.00	292.46	76.12	 2.32	208.56	354.13	90699.17
 8.00	2685.00	290.49	68.83	 2.42	214.15	328.79	90830.63
 8.00	2715.00	290.03	62.52	 2.34	219.88	320.55	90974.29
 8.00	2745.00	292.22	55.86	 2.45	259.14	326.45	90768.61
 8.00	2775.00	294.51	47.90	 2.92	285.17	339.52	90711.05
 8.00	2805.00	296.87	49.17	 2.90	290.63	363.32	90444.01
 8.00	2835.00	295.89	69.73	 2.79	255.38	380.70	90415.34
 8.00	2865.00	294.90	86.07	 1.15	204.14	392.77	90366.03
 9.00	2895.00	294.66	88.81	 0.88	205.95	389.24	90346.18
 9.00	2925.00	294.86	87.34	 1.12	223.93	386.13	90370.93
 9.00	2955.00	294.94	87.51	 1.09	208.12	390.13	90265.94
 9.00	2985.00	294.23	80.21	 1.96	226.04	371.70	90513.88
 9.00	3015.00	293.22	73.66	 2.40	221.21	353.19	90650.03
 9.00	3045.00	290.57	67.01	 2.35	216.23	328.17	90897.45
 9.00	3075.00	290.65	64.96	 2.20	226.14	322.72	90820.72
 9.00	3105.00	292.80	60.46	 2.74	230.08	343.49	90785.65
 9.00	3135.00	295.47	47.65	 2.90	285.46	346.64	90588.16
 9.00	3165.00	296.71	49.07	 3.00	295.83	362.15	90496.09
 9.00	3195.00	297.71	53.42	 2.78	290.96	373.91	90412.15
 9.00	3225.00	297.37	65.33	 2.00	273.12	382.21	90383.03
10.00	3255.00	295.10	86.28	 0.58	216.76	387.29	90273.18
10.00	3285.00	295.13	84.61	 1.48	232.58	384.43	90278.21
10.00	3315.00	295.39	81.32	 1.08	227.93	383.43	90345.98
10.00	3345.00	295.18	75.68	 2.32	231.96	373.62	90450.60
10.00	3375.00	292.88	69.64	 2.40	211.88	351.87	90757.59
10.00	3405.00	292.19	66.17	 2.48	205.50	343.29	90806.01
10.00	3435.00	291.71	62.49	 2.33	209.24	336.46	90808.45
10.00	3465.00	292.98	53.81	 2.53	241.58	339.19	90713.09
10.00	3495.00	295.30	41.78	 3.01	294.10	338.85	90574.34
10.00	3525.00	296.97	47.25	 3.25	292.57	361.90	90411.81
10.00	3555.00	296.43	59.76	 2.87	271.14	375.16	90478.75
10.00	3585.00	295.63	75.82	 2.18	237.22	385.00	90355.84
11.00	3615.00	293.92	90.04	 1.11	185.64	386.65	90181.67
11.00	3645.00	294.32	89.71	 0.89	203.84	387.15	90275.78
11.00	3675.00	294.08	89.19	 0.94	188.04	386.67	90273.66
11.00	3705.00	293.38	85.39	 2.34	190.53	374.32	90538.24
11.00	3735.00	292.24	79.62	 2.39	196.75	354.73	90778.15
11.00	3765.00	290.51	73.52	 2.28	201.60	331.54	90942.53
11.00	3795.00	290.45	67.22	 2.44	204.72	330.72	90956.06
11.00	3825.00	291.96	58.71	 2.66	237.75	332.04	90823.52
11.00	3855.00	294.29	51.59	 2.70	282.33	341.31	90566.78
11.00	3885.00	296.59	47.03	 3.13	299.25	356.03	90516.91
11.00	3915.00	296.80	57.95	 2.69	280.05	372.79	90400.99
11.00	3945.00	294.92	86.16	 0.82	211.26	387.67	90321.80
12.00	3975.00	294.77	84.96	 1.17	227.46	380.97	90358.88
12.00	4005.00	294.94	87.28	 0.33	214.97	387.32	90320.13
12.00	4035.00	295.03	80.07	 1.69	239.07	378.30	90502.79
12.00	4065.00	294.65	80.59	 1.80	211.02	378.07	90438.72
12.00	4095.00	293.25	75.92	 2.47	202.90	360.34	90702.80
12.00	4125.00	292.02	66.31	 2.26	210.03	337.36	90901.21
12.00	4155.00	290.99	61.61	 2.58	221.60	324.69	90909.58
12.00	4185.00	291.90	58.49	 2.69	232.55	335.65	90938.79
12.00	4215.00	294.09	53.38	 2.83	269.23	344.78	90717.59
12.00	4245.00	297.08	42.91	 3.16	312.52	352.52	90487.62
12.00	4275.00	297.45	53.58	 2.96	285.96	375.90	90425.70
12.00	4305.00	297.05	65.04	 2.07	270.29	380.88	90336.52
13.00	4335.00	294.91	87.39	 1.06	214.72	388.56	90382.58
13.00	4365.00	295.49	85.37	 0.84	231.27	384.02	90283.88
13.00	4395.00	294.90	86.12	 1.58	211.04	387.20	90362.18
13.00	4425.00	293.73	81.45	 2.34	209.43	373.25	90547.07
13.00	4455.00	293.66	73.39	 2.37	202.52	363.23	90651.06
13.00	4485.00	291.03	65.99	 2.22	223.69	327.54	90811.70
13.00	4515.00	290.92	63.62	 2.66	210.73	331.26	90966.03
13.00	4545.00	292.39	56.95	 2.58	245.68	333.94	90855.53
13.00	4575.00	294.91	44.14	 2.99	297.24	333.35	90684.78
13.00	4605.00	296.60	49.19	 2.96	285.28	361.23	90428.44
13.00	4635.00	297.13	56.94	 2.98	282.18	375.81	90451.03
13.00	4665.00	295.41	78.36	 1.32	234.63	384.87	90369.23
14.00	4695.00	295.01	84.79	 1.34	236.98	381.47	90412.10
14.00	4725.00	295.28	83.36	 0.44	242.93	379.20	90351.12
14.00	4755.00	295.21	84.27	 1.44	221.39	385.94	90403.56
14.00	4785.00	294.49	80.24	 2.20	220.23	374.50	90512.81
14.00	4815.00	293.66	74.88	 2.40	205.60	361.35	90660.88
14.00	4845.00	291.83	68.29	 2.43	204.77	341.06	90813.25
14.00	4875.00	290.56	62.27	 2.76	214.32	326.53	91000.33
14.00	4905.00	291.84	54.61	 2.83	247.59	327.08	90962.53
14.00	4935.00	294.93	43.49	 3.07	288.71	337.08	90641.88
14.00	4965.00	297.53	37.29	 3.14	312.32	350.41	90453.96
14.00	4995.00	297.05	54.59	 2.76	262.01	374.02	90385.40
14.00	5025.00	297.01	62.43	 2.42	276.77	379.19	90343.12
15.00	5055.00	295.01	82.83	 0.60	215.31	386.31	90351.58
15.00	5085.00	294.61	87.88	 0.90	212.77	385.92	90300.98
15.00	5115.00	294.03	89.69	 0.98	196.94	387.90	90437.76
15.00	5145.00	294.37	85.25	 2.13	194.41	383.19	90540.39
15.00	5175.00	293.34	75.18	 2.03	220.55	352.06	90645.27
15.00	5205.00	291.11	66.77	 2.53	214.53	328.91	90950.90
15.00	5235.00	290.74	62.58	 2.71	209.03	329.33	91008.24
15.00	5265.00	291.99	58.48	 2.79	238.08	334.85	90926.19
15.00	5295.00	294.65	45.87	 3.03	286.07	338.55	90718.48
15.00	5325.00	296.91	40.58	 3.49	309.51	350.19	90577.74
15.00	5355.00	297.73	54.16	 3.04	290.66	375.84	90329.35
15.00	5385.00	298.28	51.21	 2.96	294.37	375.55	90346.34
16.00	5415.00	295.03	87.29	 0.72	190.81	392.52	90243.91
16.00	5445.00	294.50	88.49	 0.42	207.61	383.44	90278.12
16.00	5475.00	294.65	86.15	 1.05	213.96	383.94	90393.74
16.00	5505.00	294.27	79.18	 2.22	218.64	371.26	90547.13
16.00	5535.00	293.33	66.49	 2.42	228.16	347.32	90743.78
16.00	5565.00	291.50	64.08	 2.35	210.94	334.57	90840.20
16.00	5595.00	291.15	62.48	 2.67	202.04	335.33	90951.40
16.00	5625.00	292.60	56.73	 2.71	228.60	341.00	90835.10
16.00	5655.00	295.27	43.77	 3.04	279.99	343.39	90702.49
16.00	5685.00	296.74	50.38	 3.12	281.57	364.18	90473.55
16.00	5715.00	298.34	43.01	 2.97	298.34	368.47	90364.85
16.00	5745.00	296.64	69.55	 2.54	259.60	384.47	90440.61
17.00	5775.00	294.88	88.22	 0.56	189.35	390.31	90350.79
17.00	5805.00	294.67	88.26	 0.11	209.11	385.78	90346.37
17.00	5835.00	294.57	86.29	 1.51	217.20	383.06	90417.70
17.00	5865.00	294.40	79.15	 2.28	220.09	372.06	90484.86
17.00	5895.00	293.45	71.44	 2.36	214.49	354.83	90691.29
17.00	5925.00	291.22	64.42	 2.17	224.79	325.18	90810.85
17.00	5955.00	291.46	58.56	 2.42	219.38	327.94	90794.51
17.00	5985.00	293.23	58.22	 2.65	230.67	340.27	90802.78
17.00	6015.00	295.52	42.32	 2.93	287.31	340.88	90700.51
17.00	6045.00	297.71	37.76	 3.44	317.84	350.57	90393.70
17.00	6075.00	299.08	34.35	 3.18	307.53	366.80	90372.48
17.00	6105.00	296.18	73.85	 1.71	237.40	384.45	90396.28
18.00	6135.00	294.70	89.25	 1.16	211.20	386.38	90186.60
18.00	6165.00	294.40	90.92	 0.58	187.95	392.31	90214.48
18.00	6195.00	294.68	86.25	 1.48	207.36	384.95	90333.85
18.00	6225.00	293.70	80.60	 2.44	202.15	372.08	90577.10
18.00	6255.00	293.02	79.13	 2.23	183.36	366.70	90732.97
18.00	6285.00	290.70	69.72	 2.30	198.14	333.62	90881.84
18.00	6315.00	290.44	63.08	 2.35	212.36	325.08	90929.52
18.00	6345.00	292.58	52.37	 2.45	251.75	326.67	90751.71
18.00	6375.00	295.37	46.25	 2.76	281.07	343.35	90555.75
18.00	6405.00	296.92	42.17	 3.20	301.32	355.34	90510.77
18.00	6435.00	299.17	32.66	 3.41	328.57	361.42	90287.90
18.00	6465.00	295.53	77.27	 1.30	231.68	383.38	90340.41
19.00	6495.00	295.14	85.58	 1.02	219.39	387.25	90273.37
19.00	6525.00	294.23	90.98	 0.69	180.33	392.83	90302.89
19.00	6555.00	294.69	86.10	 2.03	205.59	385.69	90472.15
19.00	6585.00	293.86	83.76	 1.89	195.98	376.62	90554.58
19.00	6615.00	292.47	68.75	 2.09	236.53	338.75	90766.06
19.00	6645.00	292.46	68.23	 2.17	198.26	345.57	90800.87
19.00	6675.00	290.84	65.00	 2.92	200.29	332.65	91035.79
19.00	6705.00	293.28	51.23	 2.40	242.93	336.62	90885.22
19.00	6735.00	295.91	43.96	 3.02	281.41	345.77	90696.08
19.00	6765.00	296.81	50.71	 3.22	265.42	370.74	90605.10
19.00	6795.00	297.64	59.72	 2.30	267.77	381.33	90354.26
19.00	6825.00	294.66	89.82	 1.48	179.66	397.86	90471.26
20.00	6855.00	295.07	91.40	 1.10	190.40	399.47	90375.07
20.00	6885.00	295.39	88.27	 0.40	205.87	391.86	90415.02
20.00	6915.00	295.05	89.70	 1.24	195.87	394.38	90453.87
20.00	6945.00	294.18	83.14	 2.19	200.67	379.51	90615.80
20.00	6975.00	293.22	69.01	 1.76	230.81	346.01	90733.23
20.00	7005.00	291.81	62.77	 2.42	216.66	330.90	90941.50
20.00	7035.00	291.03	60.34	 2.53	215.92	326.68	90942.74
20.00	7065.00	292.76	55.22	 2.60	215.61	346.52	90821.14
20.00	7095.00	295.06	49.23	 2.86	262.11	349.72	90691.15
20.00	7125.00	297.13	42.96	 3.10	291.26	358.31	90552.90
20.00	7155.00	298.28	40.79	 3.51	306.30	365.63	90410.42
20.00	7185.00	297.99	53.26	 2.28	283.28	376.80	90323.09
21.00	7215.00	294.76	86.85	 1.09	206.84	388.55	90262.89
21.00	7245.00	295.10	83.06	 1.20	228.12	384.95	90310.23
21.00	7275.00	293.95	91.88	 1.07	168.57	394.10	90260.73
21.00	7305.00	293.27	86.50	 2.42	181.70	378.19	90640.89
21.00	7335.00	292.57	74.66	 2.25	211.74	350.84	90771.94
21.00	7365.00	291.13	66.44	 2.48	214.73	329.30	90874.57
21.00	7395.00	290.64	64.11	 2.65	189.85	336.55	90986.36
21.00	7425.00	292.21	64.67	 2.43	203.48	347.98	90843.92
21.00	7455.00	294.72	49.94	 2.82	266.74	347.41	90622.24
21.00	7485.00	296.58	39.71	 3.03	289.37	354.85	90532.98
21.00	7515.00	297.32	52.19	 3.17	283.14	373.90	90401.65
21.00	7545.00	297.02	58.11	 2.42	279.07	373.52	90362.23
22.00	7575.00	295.03	84.92	 0.76	220.06	385.75	90192.32
22.00	7605.00	294.39	90.15	 0.92	201.12	389.15	90278.11
22.00	7635.00	293.88	91.77	 1.01	173.71	393.90	90343.94
22.00	7665.00	293.60	85.23	 2.08	196.03	373.51	90556.21
22.00	7695.00	292.25	76.55	 2.14	208.97	350.70	90762.11
22.00	7725.00	290.94	72.75	 2.51	189.32	339.84	90933.78
22.00	7755.00	290.24	65.85	 2.66	198.21	332.53	90895.44
22.00	7785.00	291.81	62.25	 2.49	206.75	343.29	90883.60
22.00	7815.00	295.16	45.35	 2.80	273.45	344.39	90615.59
22.00	7845.00	297.71	36.37	 3.01	294.49	360.32	90516.32
22.00	7875.00	296.15	71.41	 1.61	226.92	388.36	90283.29
22.00	7905.00	294.51	88.78	 0.86	199.79	390.57	90371.65
23.00	7935.00	293.88	92.21	 1.28	179.45	390.11	90233.30
23.00	7965.00	294.39	90.47	 0.79	197.71	391.88	90303.40
23.00	7995.00	294.33	90.20	 1.09	198.96	389.13	90405.58
23.00	8025.00	294.18	82.41	 2.14	207.90	371.38	90571.81
23.00	8055.00	292.86	73.89	 2.29	215.22	351.59	90786.94
23.00	8085.00	290.97	69.01	 2.31	204.54	333.93	90907.05
23.00	8115.00	291.15	61.71	 2.39	204.17	334.66	90918.68
23.00	8145.00	292.93	54.59	 2.20	250.23	330.90	90859.67
23.00	8175.00	295.42	42.76	 2.65	293.57	337.49	90551.56
23.00	8205.00	297.24	45.06	 2.87	282.20	363.21	90520.76
23.00	8235.00	298.92	39.46	 3.13	307.17	367.48	90386.74
23.00	8265.00	296.73	73.10	 1.77	238.24	386.80	90342.62
24.00	8295.00	294.42	90.03	 0.23	177.07	391.20	90347.44
24.00	8325.00	294.57	90.90	 0.44	180.89	394.53	90412.09
24.00	8355.00	294.37	90.38	 1.45	184.79	392.08	90417.11
24.00	8385.00	293.92	84.36	 2.20	191.93	378.52	90503.23
24.00	8415.00	292.42	72.64	 1.96	231.54	339.21	90734.43
24.00	8445.00	290.68	71.04	 2.37	195.64	334.86	90955.45
24.00	8475.00	291.83	63.10	 2.09	222.72	329.92	90910.02
24.00	8505.00	292.83	57.73	 2.65	226.69	340.92	90897.28
24.00	8535.00	295.06	52.03	 2.87	261.02	352.32	90725.61
24.00	8565.00	297.57	43.43	 3.29	293.09	361.34	90500.46
24.00	8595.00	296.08	70.27	 2.17	243.27	379.17	90480.89
24.00	8625.00	295.14	84.58	 1.08	201.82	390.67	90455.21
25.00	8655.00	294.94	88.38	 0.38	196.95	390.07	90376.62
25.00	8685.00	295.12	87.29	 0.35	203.31	389.29	90312.24
25.00	8715.00	294.83	89.14	 0.84	188.50	391.38	90338.73
25.00	8745.00	293.77	81.87	 2.04	213.32	370.81	90548.62
25.00	8775.00	292.95	73.09	 2.25	219.46	350.57	90740.93
25.00	8805.00	291.41	68.46	 2.37	207.93	337.43	90843.16
25.00	8835.00	290.42	66.33	 2.81	206.45	331.34	91017.78
25.00	8865.00	292.20	52.40	 2.38	249.53	326.83	90824.43
25.00	8895.00	295.27	46.84	 2.86	269.61	350.21	90706.83
25.00	8925.00	297.50	38.62	 3.11	307.87	355.98	90456.30
25.00	8955.00	298.04	51.88	 2.85	286.53	374.05	90344.90
25.00	8985.00	295.55	81.48	 1.35	213.17	389.32	90374.37
26.00	9015.00	294.97	88.22	 0.51	201.78	392.66	90279.72
26.00	9045.00	294.47	88.13	 0.41	203.22	387.78	90364.23
26.00	9075.00	294.71	87.16	 1.01	205.39	385.12	90373.73
26.00	9105.00	293.62	86.25	 2.30	178.10	381.54	90567.23
26.00	9135.00	291.78	74.05	 2.53	208.94	347.11	90822.83
26.00	9165.00	290.56	70.76	 2.50	191.07	338.41	91084.44
26.00	9195.00	290.82	60.97	 2.37	219.06	328.41	90897.98
26.00	9225.00	292.91	53.80	 2.60	243.19	335.67	90843.79
26.00	9255.00	295.15	48.93	 2.69	266.28	350.92	90578.66
26.00	9285.00	296.72	52.61	 3.14	274.89	368.13	90536.51
26.00	9315.00	296.66	63.82	 2.68	251.96	381.81	90412.81
26.00	9345.00	295.10	85.13	 1.12	199.64	394.10	90294.98
27.00	9375.00	294.71	89.16	 0.46	193.10	392.25	90352.81
27.00	9405.00	295.38	85.83	 1.01	212.07	389.66	90332.69
27.00	9435.00	295.24	82.62	 1.11	226.30	382.93	90427.07
27.00	9465.00	294.54	77.74	 2.01	221.16	370.78	90566.64
27.00	9495.00	293.40	70.08	 2.27	219.30	353.17	90709.01
27.00	9525.00	291.86	68.04	 2.22	206.16	337.11	90836.53
27.00	9555.00	290.98	61.41	 2.69	215.08	330.23	91022.50
27.00	9585.00	292.97	51.42	 2.69	248.56	331.59	90790.63
27.00	9615.00	294.98	46.85	 2.81	271.35	347.33	90680.28
27.00	9645.00	297.14	41.87	 3.29	296.42	358.29	90548.40
27.00	9675.00	298.76	38.92	 3.24	313.48	367.26	90333.68
27.00	9705.00	297.64	62.00	 2.47	256.18	386.06	90256.22
28.00	9735.00	295.24	84.80	 1.63	213.50	389.43	90328.28
28.00	9765.00	295.07	86.65	 1.22	215.75	388.80	90321.05
28.00	9795.00	294.38	89.86	 1.16	173.82	393.22	90397.44
28.00	9825.00	293.71	84.28	 2.42	191.83	376.65	90563.86
28.00	9855.00	293.08	75.03	 2.04	210.72	355.92	90699.90
28.00	9885.00	291.18	69.34	 2.53	204.81	335.32	90927.48
