 1.00	15.00	293.30	90.56	 0.14	196.88	381.23	87757.24
 1.00	45.00	293.68	89.05	 0.09	215.35	380.20	87728.66
 1.00	75.00	293.83	88.57	 0.82	220.43	378.74	87720.42
 1.00	105.00	294.03	84.66	 1.61	221.65	373.51	87760.60
 1.00	135.00	294.59	70.59	 2.12	226.57	363.91	87850.90
 1.00	165.00	294.34	55.91	 2.38	230.65	348.88	87949.69
 1.00	195.00	294.28	46.05	 2.58	237.79	342.33	87962.77
 1.00	225.00	295.92	37.78	 2.40	248.46	354.96	87867.65
 1.00	255.00	297.14	37.57	 1.81	260.80	366.56	87754.06
 1.00	285.00	296.11	60.47	 0.80	242.49	376.18	87705.53
 1.00	315.00	293.96	84.62	 0.41	207.69	378.23	87724.63
 1.00	345.00	293.23	90.81	 0.26	191.59	380.93	87763.87
 2.00	375.00	293.30	90.56	 0.14	196.88	381.23	87757.24
 2.00	405.00	293.68	89.05	 0.09	215.35	380.20	87728.66
 2.00	430.00	293.83	88.57	 0.82	220.43	378.74	87720.42
 2.00	465.00	294.03	84.66	 1.61	221.65	373.51	87760.60
 2.00	495.00	294.59	70.59	 2.12	226.57	363.91	87850.90
 2.00	525.00	294.34	55.91	 2.38	230.65	348.88	87949.69
 2.00	555.00	294.28	46.05	 2.58	237.79	342.33	87962.77
 2.00	585.00	295.92	37.78	 2.40	248.46	354.96	87867.65
 2.00	615.00	297.14	37.57	 1.81	260.80	366.56	87754.06
 2.00	645.00	296.11	60.47	 0.80	242.49	376.18	87705.53
 2.00	675.00	293.96	84.62	 0.41	207.69	378.23	87724.63
 2.00	705.00	293.23	90.81	 0.26	191.59	380.93	87763.87
