Depth (m),Porosity Profile ($\phi$) (unitless),Compacted Layer,Non-Compacted Original Layer
0.0,0.9499999999999998,0.0,0.0
21.21212121212121,0.9493970190256336,20.959359314095042,21.21212121212121
42.42424242424242,0.9487871583359496,41.41953565332305,42.42424242424242
63.63636363636363,0.9481703489333249,61.38992094940023,63.63636363636363
84.84848484848484,0.9475465213585977,80.87975006247996,84.84848484848484
106.06060606060606,0.9469156056938786,99.89810324385273,106.06060606060606
127.27272727272727,0.9462775315655515,118.45390856157698,127.27272727272727
148.48484848484847,0.9456322281474749,136.55594428958776,148.48484848484847
169.6969696969697,0.9449796241643809,154.21284126081093,169.6969696969697
190.9090909090909,0.9443196478954811,171.43308518481618,190.9090909090909
212.12121212121212,0.9436522271782832,188.22501893052598,212.12121212121212
233.33333333333331,0.9429772894126207,204.59684477448945,233.33333333333331
254.54545454545453,0.9422947615649024,220.55662661523183,254.54545454545453
275.75757575757575,0.9416045701725861,236.11229215417214,275.75757575757575
296.96969696969694,0.94090664134888,251.27163504360132,296.96969696969694
318.1818181818182,0.9402009007876773,266.04231700220254,318.1818181818182
339.3939393939394,0.9394872737687288,280.4318698985922,339.3939393939394
360.60606060606057,0.9387656851630579,294.4476978033489,360.60606060606057
381.8181818181818,0.9380360594386238,308.09707900999734,381.8181818181818
403.030303030303,0.9372983206662345,321.38716802539255,403.030303030303
424.24242424242425,0.9365523925257199,334.32499752997035,424.24242424242425
445.45454545454544,0.9357981983123639,346.91748030829075,445.45454545454544
466.66666666666663,0.9350356609436049,359.1714111503212,466.66666666666663
487.8787878787879,0.9342647029660076,371.0934687238891,487.8787878787879
509.09090909090907,0.9334852465625103,382.69021741871984,509.09090909090907
530.3030303030303,0.9326972135599547,393.9681091624904,530.3030303030303
551.5151515151515,0.9319005254369017,404.93348520930203,551.5151515151515
572.7272727272727,0.9310951033317377,415.5925779009785,572.7272727272727
593.9393939393939,0.9302808680510779,425.95151240159487,593.9393939393939
615.1515151515151,0.9294577400784702,436.01630840562876,615.1515151515151
636.3636363636364,0.9286256395834052,445.79288182012186,636.3636363636364
657.5757575757575,0.9277844864306369,455.28704642123466,657.5757575757575
678.7878787878788,0.9269342001898198,464.5045154855774,678.7878787878788
700.0,0.9260747001454649,473.450903396679,700.0
721.2121212121211,0.9252059053072237,482.13172722697396,721.2121212121211
742.4242424242424,0.9243277344205005,490.55240829565884,742.4242424242424
763.6363636363636,0.9234401059774006,498.71827370277526,763.6363636363636
784.8484848484848,0.9225429382280184,506.63455783988104,784.8484848484848
806.060606060606,0.9216361491920699,514.306403877639,806.060606060606
827.2727272727273,0.9207196566708749,521.7388652306792,827.2727272727273
848.4848484848485,0.9197933782596923,528.9369070000644,848.4848484848485
869.6969696969696,0.9188572313604149,535.9054073936865,869.6969696969696
890.9090909090909,0.9179111331946268,542.6491591249353,890.9090909090909
912.1212121212121,0.916955000817028,549.172870789936,912.1212121212121
933.3333333333333,0.9159887511292313,555.4811682237012,933.3333333333333
954.5454545454545,0.9150123008939355,561.5785958354892,954.5454545454545
975.7575757575758,0.9140255667494785,567.4696179236857,975.7575757575758
996.9696969696969,0.9130284652247758,573.1586199705116,996.9696969696969
1018.1818181818181,0.9120209127546461,578.6499099168528,1018.1818181818181
1039.3939393939393,0.9110028256955321,583.9477194175143,1039.3939393939393
1060.6060606060605,0.9099741203416148,589.056205077178,1060.6060606060605
1081.8181818181818,0.9089347129413302,593.9794496673633,1081.8181818181818
1103.030303030303,0.9078845197142882,598.7214633246595,1103.030303030303
1124.2424242424242,0.9068234568686003,603.2861847305245,1124.2424242424242
1145.4545454545455,0.9057514406186166,607.6774822729035,1145.4545454545455
1166.6666666666665,0.9046683872030772,611.8991551899593,1166.6666666666665
1187.8787878787878,0.9035742129036806,615.9549346961618,1187.8787878787878
1209.090909090909,0.902468834064072,619.8484850910161,1209.090909090909
1230.3030303030303,0.9013521671092529,623.5834048506658,1230.3030303030303
1251.5151515151515,0.9002241285654182,627.1632277026569,1251.5151515151515
1272.7272727272727,0.8990846350802181,630.5914236840795,1272.7272727272727
1293.9393939393938,0.8979336034434522,633.871400183367,1293.9393939393938
1315.151515151515,0.896770950608193,637.0065029659646,1315.151515151515
1336.3636363636363,0.895596593712345,640.0000171841393,1336.3636363636363
1357.5757575757575,0.8944104501006369,642.8551683711398,1357.5757575757575
1378.7878787878788,0.8932124373470527,645.5751234199677,1378.7878787878788
1400.0,0.8920024732776977,648.1629915469583,1400.0
1421.2121212121212,0.8907804759941048,650.6218252404267,1421.2121212121212
1442.4242424242423,0.8895463638969796,652.9546211945847,1442.4242424242423
1463.6363636363635,0.8883000557103845,655.164321228957,1463.6363636363635
1484.8484848484848,0.8870414705063631,657.2538131935088,1484.8484848484848
1506.060606060606,0.8857705277300038,659.2259318597029,1506.060606060606
1527.2727272727273,0.8844871472249421,661.0834597976899,1527.2727272727273
1548.4848484848485,0.8831912492593026,662.8291282398508,1548.4848484848485
1569.6969696969695,0.8818827545520762,664.4656179308837,1569.6969696969695
1590.9090909090908,0.880561584299935,665.9955599646432,1590.9090909090908
1612.121212121212,0.8792276602044808,667.4215366079318,1612.121212121212
1633.3333333333333,0.8778809044999262,668.7460821114366,1633.3333333333333
1654.5454545454545,0.8765212399812049,669.9716835080027,1654.5454545454545
1675.7575757575758,0.8751485900325102,671.100781398436,1675.7575757575758
1696.969696969697,0.8737628786562573,672.1357707250247,1696.969696969697
1718.181818181818,0.872364030502466,673.0790015329559,1718.181818181818
1739.3939393939393,0.8709519708985611,673.9327797198209,1739.3939393939393
1760.6060606060605,0.8695266258795851,674.6993677733759,1760.6060606060605
1781.8181818181818,0.8680879222188194,675.3809854977465,1781.8181818181818
1803.030303030303,0.8666357874588084,675.9798107282384,1803.030303030303
1824.2424242424242,0.8651701499427819,676.4979800349354,1824.2424242424242
1845.4545454545453,0.8636909388464686,676.9375894152495,1845.4545454545453
1866.6666666666665,0.8621980842102971,677.3006949755893,1866.6666666666665
1887.8787878787878,0.8606915169719734,677.5893136023093,1887.8787878787878
1909.090909090909,0.8591711689994328,677.8054236221068,1909.090909090909
