Time,Pseudoproxy
15,-3.5840288610025546
45,-3.5842006519442293
75,-3.584780437015077
105,-3.5813229864627765
135,-3.5364799399564824
165,-3.511613472570147
195,-3.435729943098835
225,-3.441974850906739
255,-3.566392070967943
285,-3.736509979090318
315,-3.899872881013575
345,-3.7666785037848918
375,-3.618040226399817
405,-3.603883796483366
435,-3.603883796483366
465,-3.603883796483366
495,-3.603883796483366
525,-3.5926812539904915
555,-3.5054088522482196
585,-3.5000431034082347
615,-3.5796692416365765
645,-3.8021062885861348
675,-3.9048723783883226
705,-3.755127371216723
735,-3.616882295881666
765,-3.603883796483366
795,-3.6039052521245907
825,-3.6039052521245907
855,-3.6037336064416934
885,-3.5496021471336157
915,-3.456575739949116
945,-3.457266678086171
975,-3.5780583382721147
1005,-3.760839712167165
1035,-3.9306368936598908
1065,-3.789423151708089
1095,-3.6312237141561
1125,-3.6155527491843955
1155,-3.616045976966163
1185,-3.615659973502787
1215,-3.615231073270536
1245,-3.6143946951234405
1275,-3.5975320581386896
1305,-3.5970813622651043
1335,-3.6432431337207305
1365,-3.800851048419503
1395,-3.9109084958626674
1425,-3.763887145995227
1455,-3.6871332146545903
1485,-3.6873683855195623
1515,-3.6988674939621795
1545,-3.698760650940468
1575,-3.697649454592657
1605,-3.6975639757646555
1635,-3.6975639757646555
1665,-3.6999999999999993
1695,-3.757109796392225
1725,-3.8294071323524825
1755,-3.957704876001813
1785,-3.832233213190797
1815,-3.6678839435666504
1845,-3.6524731024360655
1875,-3.652494513434746
1905,-3.6524731024360655
1935,-3.6473767263048202
1965,-3.5521181830817277
1995,-3.4858577585561825
2025,-3.4880572709315167
2055,-3.5695079449480396
2085,-3.713073271144907
2115,-3.8404333010248557
2145,-3.6944651573828438
2175,-3.61089873857291
2205,-3.610920187757497
2235,-3.610920187757497
2265,-3.610619897377248
2295,-3.59712428605728
2325,-3.5897187617197304
2355,-3.583255786079402
2385,-3.583255786079402
2415,-3.5986694899086444
2445,-3.739859214594272
2475,-3.865313492504189
2505,-3.7163831536811003
2535,-3.6663433168307265
2565,-3.6663433168307265
2595,-3.6663433168307265
2625,-3.6663433168307265
2655,-3.6663433168307265
2685,-3.6663433168307265
2715,-3.6663433168307265
2745,-3.6663433168307265
2775,-3.6793712490306305
2805,-3.8017871660859015
2835,-3.920287889862813
2865,-3.76320523713672
2895,-3.728743030730435
2925,-3.728743030730435
2955,-3.728743030730435
2985,-3.728743030730435
3015,-3.728743030730435
3045,-3.728743030730435
3075,-3.728743030730435
3105,-3.7288497370229408
3135,-3.7896360125056
3165,-4.008142061325685
3195,-4.101911687929604
3225,-3.906016182320979
3255,-3.8253905387349505
3285,-3.8253905387349505
3315,-3.8253905387349505
3345,-3.8253905387349505
3375,-3.81093362671929
3405,-3.7978935226117656
3435,-3.7978935226117656
3465,-3.7978935226117656
3495,-3.7987233695790366
3525,-3.870532450498441
3555,-3.978745743809995
3585,-3.801106356935623
3615,-3.656990388318441
3645,-3.5763828805078717
3675,-3.5762110318668476
3705,-3.5762110318668476
3735,-3.5762110318668476
3765,-3.5762110318668476
3795,-3.5762110318668476
3825,-3.5762110318668476
3855,-3.6095259497056276
3885,-3.778628580051265
3915,-3.9176840524213965
3945,-3.7400085324216548
3975,-3.6663433168307265
4005,-3.6663433168307265
4035,-3.6663433168307265
4065,-3.6663433168307265
4095,-3.6663433168307265
4125,-3.6663433168307265
4155,-3.6663433168307265
4185,-3.6663433168307265
4215,-3.6735962145323278
4245,-3.7791396775946637
4275,-3.8922232949758246
4305,-3.7623102016830394
4335,-3.7356352591518203
4365,-3.7356352591518203
4395,-3.7356352591518203
4425,-3.7356352591518203
4455,-3.7356352591518203
4485,-3.7356352591518203
