Time,Simulated GDGT Data
15,0.8550727993003034
45,0.8813422853320985
75,0.8979652209703143
105,0.8511704481144209
135,0.800573648196738
165,0.7602150537634408
195,0.7258398929876009
225,0.7028785306374441
255,0.6985748829551884
285,0.7197844317538714
315,0.76006585378402
345,0.7962442763800999
375,0.8284560374543395
405,0.8672789010649791
430,0.8884472912486495
465,0.8435741112311571
495,0.7945387662705149
525,0.7571641714256314
555,0.7241215208108247
585,0.7018572825024437
615,0.6982559036888408
645,0.7195529145444255
675,0.759752019344549
705,0.7959047178062457
